artifact,source_page_url,download_url,bytes,sha256,checksum_scope,build,sample_scope,role
all_phase3.pgen.zst,https://www.cog-genomics.org/plink/2.0/resources,https://www.dropbox.com/s/y6ytfoybz48dc0u/all_phase3.pgen.zst?dl=1,2414715690,1feb503994db9d7e4f85bdcd2dd7bdd58fccb08b15bdaa2d6b4cf2256773f71e,locally_computed_after_download,GRCh37,1000_Genomes_Phase_3_2504_samples,official_high_density_genotypes
all_phase3_noannot.pvar.zst,https://www.cog-genomics.org/plink/2.0/resources,https://www.dropbox.com/s/c95n8quqwqww4s0/all_phase3_noannot.pvar.zst?dl=1,643457044,82b3462007ae44e0293500d0b71fa24c4d8cc4231139993af5bbb82037a5f8cc,locally_computed_after_download,GRCh37,1000_Genomes_Phase_3_variants,official_high_density_variant_map
phase3_corrected.psam,https://www.cog-genomics.org/plink/2.0/resources,https://www.dropbox.com/scl/fi/haqvrumpuzfutklstazwk/phase3_corrected.psam?rlkey=0yyifzj2fb863ddbmsv4jkeq6&dl=1,55174,08b87282dc139204f09eef9a0d9f3508f673bb5a139fd8d8e9a595e5d5ba31af,locally_computed_after_download,GRCh37,1000_Genomes_Phase_3_population_labels,official_sample_metadata
plink2_mac_arm64_20260504.zip,https://www.cog-genomics.org/plink/2.0/,https://s3.amazonaws.com/plink2-assets/alpha7/plink2_mac_arm64_20260504.zip,1831154,02f3894091ad9ebd020d534cff071e4a565f062bb5ac7f39fd83f3937cf7aa27,locally_computed_after_download,NA,macOS_ARM64,reference_panel_conversion_tool
