"outcome_id","ancestry","analysis_role","effect_scale","requested_reference_ids","raw_matched_rows","normalized_rows","unique_matched_ids","multiallelic_reference_ids","maximum_rows_per_reference_id","coverage","output_path","output_sha256","completed_at_utc"
"ed_2025_eur","EUR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",36290,28439,28439,28439,0,1,0.783659410305869,"03_data/processed/outcomes/candidates/ed_2025_eur.parquet","8e6ed3584ff6acc74d4498dad63016a930c0838bb980377a6d422f9ee02dbbc2","2026-07-19T23:37:10Z"
"ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",36290,16919,16919,16919,0,1,0.466216588591899,"03_data/processed/outcomes/candidates/ed_2025_afr.parquet","7c106a212e36da4d0c7355980e29be99e4c43c03603c1162814bac84213137f6","2026-07-19T23:37:10Z"
"ed_2025_cross_ancestry","cross_ancestry","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",36290,29607,29607,29607,0,1,0.815844585285203,"03_data/processed/outcomes/candidates/ed_2025_cross_ancestry.parquet","d5d43dfb75bfaeb527f1c32bd5adb3282de3d5a416a01346d4cbe4ecd8fce50b","2026-07-19T23:37:10Z"
"finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds",36290,35488,35488,35396,92,2,0.975365114356572,"03_data/processed/outcomes/candidates/finngen_r12_erectile_dysfunction.parquet","4d12306916452f0b2553cde5c7fc3e7d240fac0c00d525717d6542beda269259","2026-07-19T23:37:10Z"
