"ancestry","source_ids","part_names","part_bytes","part_sha256","assembled_path","assembled_bytes","assembled_sha256","gzip_valid","manifest_sha256","completed_at_utc"
"EUR","59218643;59218640;59218637","ed_eur_meta_aa.gz;ed_eur_meta_ab.gz;ed_eur_meta_ac.gz","94371840;94371840;57787516","7e9d2fda369770e3f5d04a446efcc916aaa46b8809535c450705aefa0adc6bdb;8949789758a7d9d9070e21fa0f270b2e0260a5016b6f23f0e8b9baca26365083;1fe54cb9cdbf5690e85c134e479b7bdde685ec026c072924332afbf32f4ffe94","03_data/processed/outcomes/ed_2025/ed_eur_meta.gz",246531196,"8bdfaa92df048c2469b4f38873739188f2396712ddda3e3c85cadeb24aa85404",TRUE,"2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","2026-07-19T23:24:51Z"
"AFR","59218646;59218652","ed_afr_meta_aa.gz;ed_afr_meta_ab.gz","94371840;83037102","ca84b23418dbcc4d1371fc7409116b7533f448f5c1bb0be206ee5eeb52d74c09;dbb76df2d822b74c23303c88ef9e702266f5fb4ce644d041c0fb12f284064160","03_data/processed/outcomes/ed_2025/ed_afr_meta.gz",177408942,"db5740aeee882034a1efe6ae0c0c61796ea1f62fbea4e87d2db4bc34eb705651",TRUE,"2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","2026-07-19T23:25:26Z"
"CROSS_ANCESTRY","59218655;59218658;59218649","ed_cross_ancestry_meta_aa.gz;ed_cross_ancestry_meta_ab.gz;ed_cross_ancestry_meta_ac.gz","94371840;94371840;88209599","4591cfd17c152386b328d695e1a0c6f223d4cc58099407afba854cf1602f0c0d;b2807ce76c3e3bbd9068944cbac7563bd51a089b9b5979ee274b60b2d5a66992;0cfede9fb75ca8bdc1151335736f5fd0fc501ff1ea16b12b4a9786f1ae55ff63","03_data/processed/outcomes/ed_2025/ed_cross_ancestry_meta.gz",276953279,"2bb3f1f43cf50a1c7773d22036452bfc55e4dcc0641d37b968e60268951c6d70",TRUE,"2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","2026-07-19T23:26:17Z"
