"family","family_denominator","estimated","fdr_significant","complete_mediation_gates","result_sha256","completed_at_utc"
"endothelial_x_to_m",45,45,0,,"ac4e267523c388c5baf8be17d6dc430433461007fd9578b1e62046f82ff13a91","2026-07-21T10:46:25Z"
"cytokine_indirect",200,80,0,0,"daea5ba7ee670cd45427e8219f576f74ca6746c30593013c3dd66b826bcedc46","2026-07-21T10:46:25Z"
"endothelial_indirect",45,35,0,0,"11e6c514e0b30cb67ee8d5ca02730ec41493f9bd1507cf9f102990d4535f4aff","2026-07-21T10:46:25Z"
