"pair_id","nsnp","ivw_Q","ivw_Q_df","ivw_Q_p","egger_intercept","egger_intercept_se","egger_intercept_p","steiger_status","steiger_reason","presso_status","loo_status","singlesnp_status","mediator_id"
"endothelial_SELE__finngen_r12_ed",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate","endothelial_SELE"
"endothelial_ESM1__finngen_r12_ed",2,2.55320025642417,1,0.110071095573607,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","deferred_until_post_FDR","endothelial_ESM1"
"endothelial_PECAM1__finngen_r12_ed",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable","endothelial_PECAM1"
"endothelial_TIE2__finngen_r12_ed",2,0.890028278139403,1,0.345469644913275,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","deferred_until_post_FDR","endothelial_TIE2"
"endothelial_TM__finngen_r12_ed",2,3.81479805216015,1,0.0508017288391004,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","deferred_until_post_FDR","endothelial_TM"
"endothelial_LOX1__finngen_r12_ed",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate","endothelial_LOX1"
"endothelial_VEGFA__finngen_r12_ed",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate","endothelial_VEGFA"
"endothelial_UPAR__finngen_r12_ed",2,0.373997929522927,1,0.540833078219249,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","deferred_until_post_FDR","endothelial_UPAR"
"endothelial_TPA__finngen_r12_ed",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable","endothelial_TPA"
