"mediator_id","source_id","cis_candidates_pre_ld","uniquely_mapped_to_1kg_eur","clumped_primary_instruments","instrument_status","family_denominator","instrument_p","ld_r2","ld_kb","reference_ancestry","reference_bim_sha256","instrument_path","instrument_sha256","mapping_audit_sha256","plink_version","completed_at_utc"
"endothelial_SELE","SELE",177,38,1,"available",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_ESM1","ESM-1",42,9,2,"available",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_PECAM1","PECAM-1",0,0,0,"not_estimable_no_mapped_clumped_cis_pqtl",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_TIE2","TIE2",466,108,2,"available",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_TM","TM",504,141,2,"available",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_LOX1","LOX-1",60,15,1,"available",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_VEGFA","VEGF-A",141,33,1,"available",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_UPAR","U-PAR",86,27,2,"available",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
"endothelial_TPA","t-PA",0,0,0,"not_estimable_no_mapped_clumped_cis_pqtl",9,5e-08,0.001,10000,"EUR","0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","03_data/processed/mechanistic/endothelial_instruments.parquet","9b5810f310f0412276571950beed525256044e7d9fc40b446d9df9c5ad0d2c39","8ca128268e44bc6a9966e0c98abbf97deb69817103381532c730a65bf66491bb","PLINK v1.90b6.21 64-bit (19 Oct 2020)","2026-07-21T10:44:54Z"
