"dataset","source_id","file_name","source_url","expected_bytes","ancestry","genome_build","license","overlap_note","cohort_membership","known_overlap_datasets","replication_role","resolved_at_utc","checksum_algorithm","expected_checksum"
"cytokines_2025_meta","GCST90428411","GCST90428411.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428411/harmonised/GCST90428411.h.tsv.gz",390015306,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","ccee3631247f0b516f945f7c1ede631e"
"cytokines_2025_meta","GCST90428412","GCST90428412.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428412/harmonised/GCST90428412.h.tsv.gz",277224279,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","a52a20a3cb1cb5b610fc4d488e7cad22"
"cytokines_2025_meta","GCST90428413","GCST90428413.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428413/harmonised/GCST90428413.h.tsv.gz",398189138,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","3244646637d2ac5334bc336771450205"
"cytokines_2025_meta","GCST90428414","GCST90428414.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428414/harmonised/GCST90428414.h.tsv.gz",279507430,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","5f35e71d26d72c966498c48e41d4d6c5"
"cytokines_2025_meta","GCST90428415","GCST90428415.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428415/harmonised/GCST90428415.h.tsv.gz",281287081,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","297d4827b499d33592b039a227d43c79"
"cytokines_2025_meta","GCST90428416","GCST90428416.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428416/harmonised/GCST90428416.h.tsv.gz",292900887,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","411fb32b010abd7ece8da3373e71dbcb"
"cytokines_2025_meta","GCST90428417","GCST90428417.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428417/harmonised/GCST90428417.h.tsv.gz",257869278,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","763e0177adbfcaf37fe1116fb7e82716"
"cytokines_2025_meta","GCST90428418","GCST90428418.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428418/harmonised/GCST90428418.h.tsv.gz",370478875,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","4f44968ec7e79064ef500d7feae44a2f"
"cytokines_2025_meta","GCST90428419","GCST90428419.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428419/harmonised/GCST90428419.h.tsv.gz",278889130,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","e5318a8ff61a4d090cbe69b0f651cf32"
"cytokines_2025_meta","GCST90428420","GCST90428420.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428420/harmonised/GCST90428420.h.tsv.gz",340708355,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","bff607850c12a419f1a26ff04a63f724"
