"row_type","exposure_id","mediator_id","mediator_name","beta","se","p","q","source_heterogeneity_i2","source_heterogeneity_p","source_heterogeneity_rule","sensitivity_excluded","sensitivity_p_for_fdr","sensitivity_q","sensitivity_fdr_significant","sensitivity_analysis_status"
"mediator_to_ED",,"cytokine_CCL11","CCL11",1.6031933882324,0.763767177392246,0.0358115822999516,1,86.8,0.005871,"exclude_when_het_p_lt_0_05",TRUE,1,1,FALSE,"excluded_source_meta_gwas_heterogeneity_p_lt_0_05"
"indirect_effect","hunt_M00080","cytokine_CCL11","CCL11",0.00496255315084541,0.137868970602004,0.971286579714424,1,86.8,0.005871,"exclude_when_het_p_lt_0_05",TRUE,1,1,FALSE,"excluded_mediator_source_meta_gwas_heterogeneity_p_lt_0_05"
"indirect_effect","hunt_M00091","cytokine_CCL11","CCL11",,,,1,86.8,0.005871,"exclude_when_het_p_lt_0_05",TRUE,1,1,FALSE,"excluded_mediator_source_meta_gwas_heterogeneity_p_lt_0_05"
"indirect_effect","hunt_M00136","cytokine_CCL11","CCL11",-0.294059548546815,0.227542640278918,0.196243848034979,1,86.8,0.005871,"exclude_when_het_p_lt_0_05",TRUE,1,1,FALSE,"excluded_mediator_source_meta_gwas_heterogeneity_p_lt_0_05"
"indirect_effect","hunt_M00530","cytokine_CCL11","CCL11",0.0494275038089662,0.193761079643367,0.798649641377669,1,86.8,0.005871,"exclude_when_het_p_lt_0_05",TRUE,1,1,FALSE,"excluded_mediator_source_meta_gwas_heterogeneity_p_lt_0_05"
"indirect_effect","hunt_M00569","cytokine_CCL11","CCL11",-0.02893648727753,0.119875480938661,0.809254511439564,1,86.8,0.005871,"exclude_when_het_p_lt_0_05",TRUE,1,1,FALSE,"excluded_mediator_source_meta_gwas_heterogeneity_p_lt_0_05"
