"method","rows","estimated","failed","not_estimable","minimum_p"
"mr_wald_ratio",194,194,0,0,0.00719552323281241
"not_estimable",12,0,0,12,
"mr_egger_regression",24,6,0,18,0.568384477868033
"mr_ivw_mre",24,24,0,0,0.0757405421903986
"mr_raps",24,23,1,0,0.0877472749483382
"mr_weighted_median",24,6,0,18,0.628161842761728
