"direction","p","expected_p","observed_minus_log10_p","expected_minus_log10_p"
"forward",0.00719552323281241,0.00229357798165138,2.14293762023175,2.63948648926859
"forward",0.0106172024821376,0.00688073394495413,1.97398990007369,2.16236523454892
"forward",0.0226398401078971,0.0114678899082569,1.6451266446438,1.94051648493257
"forward",0.0226398401078971,0.0160550458715596,1.6451266446438,1.79438844925433
"forward",0.0226398401078971,0.0206422018348624,1.6451266446438,1.68524397982926
"forward",0.0352480232576871,0.0252293577981651,1.45286523363288,1.59809380411036
"forward",0.0465682005677712,0.0298165137614679,1.33191054322651,1.52554313696175
"forward",0.0534322589178885,0.0344036697247706,1.27219646506777,1.4633952302129
"forward",0.0551351090514849,0.0389908256880734,1.2585717620997,1.40903756789031
"forward",0.0553979207768969,0.0435779816513761,1.25650653512836,1.36073288831576
"forward",0.0600151432424463,0.0481651376146789,1.2217391530023,1.31726719453467
"forward",0.0631571183220754,0.0527522935779817,1.19957769382163,1.27775865325099
"forward",0.0632658344750464,0.0573394495412844,1.19883075925124,1.24154648059655
"forward",0.0661820530797933,0.0619266055045872,1.17925976441408,1.2081227251096
"forward",0.0757405421903986,0.0665137614678899,1.12067159029711,1.17708849136963
"forward",0.081950426152444,0.0711009174311927,1.0864487837021,1.14812479543431
"forward",0.0907875187009254,0.0756880733944954,1.04197385337211,1.1209725493907
"forward",0.0915176074201761,0.0802752293577982,1.03849534232943,1.09541844491831
"forward",0.0931134691042082,0.0848623853211009,1.03098749265414,1.07128476520159
"forward",0.0966767588916477,0.0894495412844037,1.01467791783273,1.04842188224209
"forward",0.105470097389089,0.0940366972477064,0.976870652970026,1.02670263254885
"forward",0.111124001232486,0.0986238532110092,0.954192129384333,1.006018033689
"forward",0.113122108695974,0.103211009174312,0.946452507839168,0.986273975493242
"forward",0.113226872434991,0.107798165137615,0.946050488649329,0.967388631332869
"forward",0.114427896785626,0.112385321100917,0.941468084431898,0.949290409240072
"forward",0.131991280137216,0.11697247706422,0.879454759047021,0.93191631317065
"forward",0.137280958319233,0.121559633027523,0.862389697798822,0.915210619667797
"forward",0.139935336472453,0.126146788990826,0.854072603612589,0.899123799774342
"forward",0.145581392882825,0.130733944954128,0.836894129725698,0.883611633596095
"forward",0.146890336788082,0.135321100917431,0.833006773424516,0.868634477626442
"forward",0.152012610459768,0.139908256880734,0.818120382937314,0.854156654257819
"forward",0.159579034407126,0.144495412844037,0.797024167116837,0.840145939815004
"forward",0.159655730512454,0.149082568807339,0.796815488741995,0.82657313262573
"forward",0.161037239567823,0.153669724770642,0.793073682547725,0.81341168656776
"forward",0.162246034635997,0.158256880733945,0.78982590874485,0.800637398531331
"forward",0.167967603293638,0.162844036697248,0.774774474628682,0.788228140549511
"forward",0.168180064064572,0.16743119266055,0.774225486420913,0.77616362914813
"forward",0.168813409484889,0.172018348623853,0.772593058693844,0.764425225876886
"forward",0.170034685520076,0.176605504587156,0.769462477483874,0.752995764096104
"forward",0.171951020502782,0.181192660550459,0.764595242363562,0.741859397978145
"forward",0.171951020502782,0.185779816513761,0.764595242363562,0.731001470389936
"forward",0.171951020502782,0.190366972477064,0.764595242363562,0.720408396892512
"forward",0.179310293488495,0.194954128440367,0.746394778608836,0.710067563554293
"forward",0.195832338120866,0.19954128440367,0.70811559083826,0.699967236649968
"forward",0.198518159744119,0.204128440366972,0.702199759349582,0.690096482623673
"forward",0.198518159744119,0.208715596330275,0.702199759349582,0.680445096947492
"forward",0.201667939889615,0.213302752293578,0.695363138156672,0.671003540714651
"forward",0.213199533883761,0.217889908256881,0.671213749138579,0.661762883979738
"forward",0.214040910098983,0.222477064220183,0.66950321107974,0.652714755002341
"forward",0.221727994253473,0.227064220183486,0.6541794716023,0.643851294671036
"forward",0.225615423740577,0.231651376146789,0.64663121401292,0.635165115485943
"forward",0.226324739441605,0.236238532110092,0.645267970942614,0.626649264563414
"forward",0.226416127494702,0.240825688073395,0.64509264182784,0.618297190198648
"forward",0.238684647140107,0.245412844036697,0.622175515122988,0.610102711583376
"forward",0.245874934113401,0.25,0.609285743449588,0.602059991327962
"forward",0.256317484116628,0.254587155963303,0.591221768390909,0.594163510481929
"forward",0.261293270576053,0.259174311926606,0.582871775076809,0.586408045785166
"forward",0.261293270576053,0.263761467889908,0.582871775076809,0.578788648914974
"forward",0.261293270576053,0.268348623853211,0.582871775076809,0.571300627522424
"forward",0.269569052866598,0.272935779816514,0.569329967258077,0.563939527876055
"forward",0.26972132327202,0.277522935779817,0.569084718310515,0.556701118952136
"forward",0.275285439053323,0.282110091743119,0.56021675956938,0.549581377829188
"forward",0.278254116167994,0.286697247706422,0.555558402497929,0.54257647626053
