"pair_id","dataset","source_id","trait","tier","outcome_id","outcome_ancestry","analysis_role","effect_scale","requested_instrument_rows","harmonised_snps","excluded_snps","pair_harmonisation_status","exposure_role","exposure_outcome_overlap_class","cross_analysis_dependence","method","method_role","nsnp","beta","se","ci_lower","ci_upper","p","exponentiable","or","or_ci_lower","or_ci_upper","mean_F","min_F","analysis_status","error_message","warning_message","p_for_fdr","q_230","fdr_significant"
"ed_2025_afr|microbiome_2026|GCST90671781|primary","microbiome_2026","GCST90671781","Gut microbiome order abundance (Haloplasmatales)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",5,3,2,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_ivw_mre","primary_estimator",3,-0.0370923871824911,0.0191440052897203,-0.0746139480701871,0.000429173705204872,0.0526786596117268,FALSE,,,,36.9047932321048,30.9756113947864,"estimated","","",0.0526786596117268,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671172|primary","microbiome_2026","GCST90671172","Gut microbiome species abundance (UMGS1623 sp934647945, GCA_934647945.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",2,1,1,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,-0.0743906214098321,0.0392148768633801,-0.15125036772023,0.00246912490056596,0.0578279380929116,FALSE,,,,31.2140831758034,31.2140831758034,"estimated","","",0.0578279380929116,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671836|primary","microbiome_2026","GCST90671836","Gut microbiome function abundance (Arabinose degradation, MF0014)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,-0.0927365930462868,0.0508145715322119,-0.192331323139256,0.00685813704668288,0.0680010293396448,FALSE,,,,30.3519375857339,30.3519375857339,"estimated","","",0.0680010293396448,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90670908|primary","microbiome_2026","GCST90670908","Gut microbiome species presence (Scatomorpha sp900759385, GCA_900759385.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0343429502140653,0.018932166600918,-0.00276341447304612,0.0714493149011767,0.0696777257653511,FALSE,,,,30.5361406113433,30.5361406113433,"estimated","","",0.0696777257653511,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90670400|primary","microbiome_2026","GCST90670400","Gut microbiome species abundance (Ruminococcus B gnavus, GCF_008121495.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,-0.0842637796515377,0.0491620651409205,-0.180619656733354,0.0120920974302785,0.0865287258673211,FALSE,,,,41.0400390625,41.0400390625,"estimated","","",0.0865287258673211,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671159|primary","microbiome_2026","GCST90671159","Gut microbiome species presence (Butyribacter hominis, GCF_014384965.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0276611533897505,0.0166033333671972,-0.00488078203326811,0.0602030888127692,0.0957134144349218,FALSE,,,,37.0917663113388,37.0917663113388,"estimated","","",0.0957134144349218,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90670551|primary","microbiome_2026","GCST90670551","Gut microbiome species presence (Enterocloster sp001517625, GCF_001517625.2)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0246991682792317,0.0150421244087891,-0.00478285381296578,0.0541811903714292,0.1005900040832,FALSE,,,,37.3250431906579,37.3250431906579,"estimated","","",0.1005900040832,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90670700|primary","microbiome_2026","GCST90670700","Gut microbiome species presence (Schaedlerella glycyrrhizinilytica A, GCF_015560805.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0301978882246081,0.018390918528994,-0.00584764973483043,0.0662434261840466,0.1005900040832,FALSE,,,,36.8014596751134,36.8014596751134,"estimated","","",0.1005900040832,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671868|primary","microbiome_2026","GCST90671868","Gut microbiome function abundance (Threonine degradation II, MF0050)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.080445818556933,0.0490822565936138,-0.0157536366465036,0.17664527376037,0.101213259693608,FALSE,,,,30.25,30.25,"estimated","","",0.101213259693608,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90670925|primary","microbiome_2026","GCST90670925","Gut microbiome species presence (Copromonas sp900541255, GCA_018223415.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,-0.0137698167750036,0.00866571225613818,-0.0307543006974217,0.00321466714741459,0.11206039270918,FALSE,,,,30.6704988662132,30.6704988662132,"estimated","","",0.11206039270918,1,FALSE
