"alpha_label","alpha","estimable_traits","r2_median","r2_q1","r2_q3","r2_min","r2_max","mde_or_median","mde_or_q1","mde_or_q3","mde_or_min","mde_or_max","traits_power_80_for_or_1_20_or_larger","traits_power_80_for_or_1_50_or_larger","traits_power_80_for_or_2_00_or_larger"
"nominal_0.05",0.05,218,0.00202619748499709,0.0016789766353182,0.00273861356000122,0.0013722960717198,0.00760275784160324,2.17404162345676,2.01000968654988,2.28933593502084,1.60548165433284,2.42533195412976,0,0,54
"forward_bonferroni_0.05_over_230",0.000217391304347826,218,0.00202619748499709,0.0016789766353182,0.00273861356000122,0.0013722960717198,0.00760275784160324,2.89351503171884,2.63274595021201,3.07543538964301,1.98218492104592,3.28837313101457,0,0,1
"global_bonferroni_0.05_over_1802",2.77469478357381e-05,218,0.00202619748499709,0.0016789766353182,0.00273861356000122,0.0013722960717198,0.00760275784160324,3.09405706290943,2.80737864173563,3.29347972867268,2.0889070885413,3.52622815802841,0,0,0
