"outcome_id","dataset","source_id","trait","tier","requested_instrument_rows","harmonised_snps","excluded_snps","pair_harmonisation_status","outcome_ancestry","analysis_role","effect_scale","pair_id","exposure_role","exposure_outcome_overlap_class","cross_analysis_dependence"
"ed_2025_afr","microbiome_2026","GCST90670379","Gut microbiome species abundance (UBA11524 sp000437595, GCA_000437595.1)","exploratory",15,9,6,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670379|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670380","Gut microbiome species abundance (Ruminococcus D bicirculans, GCF_000723465.1)","exploratory",14,7,7,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670380|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670381","Gut microbiome species abundance (Fusicatenibacter saccharivorans, GCF_015557635.1)","exploratory",17,7,10,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670381|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670382","Gut microbiome species abundance (Acetatifactor sp900066565, GCA_003584705.1)","exploratory",13,5,8,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670382|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670383","Gut microbiome species abundance (Blautia A wexlerae, GCA_025148125.1)","exploratory",16,6,10,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670383|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)","exploratory",24,11,13,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670384|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)","primary",1,0,1,"not_estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670384|primary","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)","exploratory",16,6,10,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670385|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)","primary",1,0,1,"not_estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670385|primary","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
"ed_2025_afr","microbiome_2026","GCST90670386","Gut microbiome species presence (CAG-177 sp003514385, GCA_003514385.1)","exploratory",15,7,8,"estimable","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight","ed_2025_afr|microbiome_2026|GCST90670386|exploratory","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen"
