"pair_id","nsnp","ivw_Q","ivw_Q_df","ivw_Q_p","egger_intercept","egger_intercept_se","egger_intercept_p","steiger_status","steiger_reason","presso_status","loo_status","singlesnp_status"
"reverse|GCST90671793",17,14.1633495056069,16,0.586545991751726,0.00233185896479519,0.00599486111713863,0.702759690414434,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671794",15,12.6491166137669,14,0.554319373347654,0.0158492052832945,0.0140572209165452,0.27992094002107,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671795",17,17.791214892933,16,0.336263966783,0.00172791451421313,0.00630510244636171,0.787784001607386,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671796",15,11.4692546063605,14,0.648842655863446,-0.0078741091179228,0.0178960785953295,0.667170275722185,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671797",17,7.36010410991247,16,0.965679968764238,0.00265417584757362,0.00570213061214526,0.6482806324993,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671798",17,9.50723174116646,16,0.891065216535531,0.00045044143172977,0.00544658818101589,0.935182361261145,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671799",17,25.4762839260138,16,0.0618572213872023,-0.0113682703996685,0.00634905782016962,0.093565865340484,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671800",17,20.8527761460298,16,0.18423938813073,-0.000383497555960078,0.00696206925169507,0.956798660438177,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671801",17,13.2510936016214,16,0.654317580612762,0.000207321712389262,0.0053987798056657,0.969873929762054,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671802",15,12.3206538630209,14,0.580568701411935,0.0149794989140141,0.0140387132729217,0.305380902688482,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671803",15,12.551658640433,14,0.562089579431296,-0.00115213202741463,0.013949469677415,0.93543315424438,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671804",15,16.7577368004023,14,0.269318154383691,0.0132655275622323,0.0182404583773076,0.479960662664708,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671805",15,22.5152161327615,14,0.068629636888272,-0.00880524370677081,0.025836037279375,0.738689698786979,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671806",15,9.79190921834616,14,0.777233520239538,0.0064668949014228,0.0162618689676399,0.697324718011855,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671807",15,14.137493897099,14,0.439518681644601,0.00709628575371211,0.0163643430262873,0.671656768986367,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671808",17,10.4858406826415,16,0.840056169397226,-0.00108520782960138,0.00579769694570893,0.854028485167903,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671809",17,15.6349187116974,16,0.478718029195658,-0.00382382409798951,0.00588597189497609,0.5257423610441,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671810",17,27.1947630762975,16,0.0393684990006698,-0.00314938015987701,0.00797957629251164,0.698634047825059,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671811",17,13.5112079278483,16,0.635076881855824,0.00408475628187939,0.00598275955862483,0.505170654625399,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671812",15,12.6491166137669,14,0.554319373347654,0.0158492052832945,0.0140572209165452,0.27992094002107,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671813",17,18.3054946019358,16,0.306313809575831,0.00190748717469338,0.00645117797462486,0.771527933477198,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671814",15,11.4692546063605,14,0.648842655863446,-0.0078741091179228,0.0178960785953295,0.667170275722185,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671815",17,25.4772841712646,16,0.0618413638816038,-0.0113538438938184,0.006350929815646,0.0940333025866781,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671816",17,20.8381138325859,16,0.184817589834923,-0.000378032068905548,0.00695964062390531,0.957398857364313,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671817",17,13.2510936016214,16,0.654317580612762,0.000207321712389262,0.0053987798056657,0.969873929762054,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671818",15,16.7577368004023,14,0.269318154383691,0.0132655275622323,0.0182404583773076,0.479960662664708,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671819",15,11.9337256521125,14,0.611625216581669,-0.00770869587920933,0.0150446893671874,0.616974537595799,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671820",17,20.5220016778234,16,0.197624165096676,-0.00887568579161967,0.00661664567532881,0.199742408855166,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671821",15,12.3066433835423,14,0.581691640262009,0.014924914797162,0.0140624045555023,0.307858099742478,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671822",15,20.2786010933146,14,0.121599615514374,0.00276497827801574,0.0171167682340078,0.874154592893573,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671823",17,13.7818517316083,16,0.614961545960315,-0.000186996475641625,0.00602924455918284,0.975666565380766,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671824",17,10.8726416467171,16,0.817277343002676,0.000425703322795741,0.00595942508564614,0.943996387968636,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671825",17,16.2052741392736,16,0.438728275678416,5.71447292510643e-05,0.00625949364840632,0.99283629497154,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671826",17,11.4829267752505,16,0.778742173382643,0.000992508214339212,0.00598275955862483,0.870455139597038,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671827",17,12.7683848984294,16,0.68961130854242,0.00363305795883483,0.00598517268607502,0.552922462151304,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671828",17,11.9621762727065,16,0.746579359396313,0.00132329299671292,0.00600238708563477,0.82848457692861,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671829",17,26.9037798595345,16,0.0425650840170282,0.00559210181287743,0.0075973609087727,0.473049539519576,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"reverse|GCST90671830",17,22.8014770427724,16,0.119145434819394,0.00160678649810892,0.00742484839734999,0.83158633742389,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
