"mediator_id","mediator_name","source_id","method","nsnp","beta","se","ci_lower","ci_upper","p","mean_F","min_F","analysis_status","error_message","warning_message","p_for_fdr","q","fdr_alpha","fdr_significant","outcome_id","outcome_overlap_class","odds_ratio","or_ci_lower","or_ci_upper","evidence_label","family","family_denominator"
"endothelial_SELE","E-selectin / SELE","SELE","mr_wald_ratio",1,-0.0695722379603399,0.268423984891407,-0.595673580934221,0.456529105013541,0.79549029819224,103.687222633136,103.687222633136,"estimated","","",0.79549029819224,1,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",0.932792747905162,0.551191168936419,1.57858536127024,"screening_not_fdr_supported","endothelial_m_to_y",9
"endothelial_ESM1","Endocan / ESM-1","ESM-1","mr_ivw_mre",2,-0.502773889950153,0.278494838717319,-1.04861374371639,0.0430659638160825,0.0710237301265298,39.1433539509497,36.2627728507868,"estimated","","",0.0710237301265298,0.39528474451573,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",0.604850541719705,0.350423188908979,1.04400675924916,"screening_not_fdr_supported","endothelial_m_to_y",9
"endothelial_PECAM1","PECAM-1","PECAM-1","not_estimable",0,,,,,,,,"not_estimable","No harmonised instruments remained","",1,1,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",,,,"non_estimable","endothelial_m_to_y",9
"endothelial_TIE2","TIE2","TIE2","mr_ivw_mre",2,-0.160640656789752,0.0941126405341316,-0.345098042726615,0.0238167291471099,0.0878410543368288,571.338526241017,168.141171705855,"estimated","","",0.0878410543368288,0.39528474451573,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",0.851598032102052,0.708150921017031,1.02410261253144,"screening_not_fdr_supported","endothelial_m_to_y",9
"endothelial_TM","Thrombomodulin","TM","mr_ivw_mre",2,-0.0270625325050264,0.142814751593503,-0.306974302089326,0.252849237079273,0.84970569032515,522.927728429615,32.9995737652512,"estimated","","",0.84970569032515,1,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",0.973300376710643,0.73566950583359,1.28768912642597,"screening_not_fdr_supported","endothelial_m_to_y",9
"endothelial_LOX1","LOX-1","LOX-1","mr_wald_ratio",1,0.0777676360225141,0.342516885553471,-0.593553123759116,0.749088395804144,0.820386730903668,49.1843836565097,49.1843836565097,"estimated","","",0.820386730903668,1,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",1.08087147389324,0.552361186252852,2.11507102988469,"screening_not_fdr_supported","endothelial_m_to_y",9
"endothelial_VEGFA","VEGF-A","VEGF-A","mr_wald_ratio",1,0.021297329443447,0.0601606822262119,-0.0966154410052871,0.139210099892181,0.723333303288871,1378.88444444444,1378.88444444444,"estimated","","",0.723333303288871,1,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",1.02152573616672,0.907905082074482,1.14936555621719,"screening_not_fdr_supported","endothelial_m_to_y",9
"endothelial_UPAR","U-PAR","U-PAR","mr_ivw_mre",2,-0.124706026393639,0.246744127282932,-0.608315629264952,0.358903576477674,0.613273523395307,79.1633872254979,38.4906289046231,"estimated","","",0.613273523395307,1,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",0.882756371518291,0.544266844581841,1.43175873969476,"screening_not_fdr_supported","endothelial_m_to_y",9
"endothelial_TPA","t-PA","t-PA","not_estimable",0,,,,,,,,"not_estimable","No harmonised instruments remained","",1,1,0.05,FALSE,"finngen_r12_erectile_dysfunction","possible_unresolved",,,,"non_estimable","endothelial_m_to_y",9
