source_id,nsnp,F_metric,F_value
GCST90670780,1,Median F,35.1628193290243
GCST90670781,1,Median F,34.6610388238135
GCST90670784,1,Median F,30.5542934276762
GCST90670786,1,Median F,34.8500637402941
GCST90670792,1,Median F,30.4982550117685
GCST90670796,1,Median F,30.2189345334993
GCST90670806,1,Median F,33.4002108561204
GCST90670813,1,Median F,32.3012297669251
GCST90670815,1,Median F,34.2162099664701
GCST90670827,1,Median F,33.3297906259964
GCST90670835,1,Median F,30.7151444404192
GCST90670838,1,Median F,30.7100694444444
GCST90670852,1,Median F,31.0116151839071
GCST90670875,1,Median F,30.3999909158352
GCST90670881,1,Median F,37.1637752977076
GCST90670884,1,Median F,35.8788899091929
GCST90670890,1,Median F,30.1891450279816
GCST90670899,1,Median F,31.190410405453
GCST90670908,1,Median F,30.5361406113433
GCST90670910,2,Median F,41.6765564945423
GCST90670917,1,Median F,31.8043537047053
GCST90670925,1,Median F,30.6704988662132
GCST90670927,1,Median F,33.9445653484255
GCST90670937,1,Median F,33.9624496857567
GCST90670943,1,Median F,42.453369140625
GCST90670986,1,Median F,39.1061168199026
GCST90670988,1,Median F,30.2086607496184
GCST90670990,1,Median F,30.7232653061224
GCST90671001,1,Median F,31.0041629672747
GCST90671012,1,Median F,45.6197213444413
GCST90671032,1,Median F,30.0460591836735
GCST90671051,1,Median F,31.0181608642241
GCST90671057,1,Median F,29.7630864197531
GCST90671072,2,Median F,37.0380026733727
GCST90671075,1,Median F,32.0764619513883
GCST90671089,1,Median F,43.094312554954
GCST90671093,1,Median F,30.1050128567866
GCST90671102,1,Median F,30.7951978012465
GCST90671111,1,Median F,37.9838853803375
GCST90671115,1,Median F,30.3354260795178
GCST90671122,1,Median F,34.6348155588021
GCST90671134,1,Median F,31.650192049609
GCST90671138,2,Median F,33.9867387173583
GCST90671139,2,Median F,31.0921776749182
GCST90671147,1,Median F,31.0408163265306
GCST90671159,1,Median F,37.0917663113388
GCST90671164,1,Median F,29.7383990488006
GCST90671172,1,Median F,31.2140831758034
GCST90671176,2,Median F,31.4109650193828
GCST90671181,1,Median F,29.8378794731189
GCST90671188,1,Median F,31.3836664352311
GCST90671189,1,Median F,33.1402483564646
GCST90671190,1,Median F,30.6260216597485
GCST90671193,1,Median F,34.591559575392
GCST90671209,1,Median F,30.0107810616245
GCST90671210,1,Median F,30.0632144014068
GCST90671214,1,Median F,30.25
GCST90671218,1,Median F,31.943624989082
GCST90671223,1,Median F,30.6476949922896
GCST90671235,1,Median F,30.5460227016801
GCST90671237,1,Median F,32.1363012345679
GCST90671245,1,Median F,31.5241165972635
GCST90671259,1,Median F,29.8923676748582
GCST90671277,1,Median F,30.8101732888785
GCST90671285,1,Median F,30.8224036126411
GCST90671292,1,Median F,30.7316179042086
