rank,observed_p,primary_BH,estimable_only_BH
1,0.00719552323281241,0.000217391304347826,0.000229357798165138
2,0.0106172024821376,0.000434782608695652,0.000458715596330275
3,0.0226398401078971,0.000652173913043478,0.000688073394495413
4,0.0226398401078971,0.000869565217391304,0.00091743119266055
5,0.0226398401078971,0.00108695652173913,0.00114678899082569
6,0.0352480232576871,0.00130434782608696,0.00137614678899083
7,0.0465682005677712,0.00152173913043478,0.00160550458715596
8,0.0534322589178885,0.00173913043478261,0.0018348623853211
9,0.0551351090514849,0.00195652173913044,0.00206422018348624
10,0.0553979207768969,0.00217391304347826,0.00229357798165138
11,0.0600151432424463,0.00239130434782609,0.00252293577981651
12,0.0631571183220754,0.00260869565217391,0.00275229357798165
13,0.0632658344750464,0.00282608695652174,0.00298165137614679
14,0.0661820530797933,0.00304347826086957,0.00321100917431193
15,0.0757405421903986,0.00326086956521739,0.00344036697247706
16,0.081950426152444,0.00347826086956522,0.0036697247706422
17,0.0907875187009254,0.00369565217391304,0.00389908256880734
18,0.0915176074201761,0.00391304347826087,0.00412844036697248
19,0.0931134691042082,0.0041304347826087,0.00435779816513761
20,0.0966767588916477,0.00434782608695652,0.00458715596330275
21,0.105470097389089,0.00456521739130435,0.00481651376146789
22,0.111124001232486,0.00478260869565218,0.00504587155963303
23,0.113122108695974,0.005,0.00527522935779817
24,0.113226872434991,0.00521739130434783,0.0055045871559633
25,0.114427896785626,0.00543478260869565,0.00573394495412844
26,0.131991280137216,0.00565217391304348,0.00596330275229358
27,0.137280958319233,0.00586956521739131,0.00619266055045872
28,0.139935336472453,0.00608695652173913,0.00642201834862385
29,0.145581392882825,0.00630434782608696,0.00665137614678899
30,0.146890336788082,0.00652173913043478,0.00688073394495413
31,0.152012610459768,0.00673913043478261,0.00711009174311927
32,0.159579034407126,0.00695652173913044,0.0073394495412844
33,0.159655730512454,0.00717391304347826,0.00756880733944954
34,0.161037239567823,0.00739130434782609,0.00779816513761468
35,0.162246034635997,0.00760869565217391,0.00802752293577982
36,0.167967603293638,0.00782608695652174,0.00825688073394496
37,0.168180064064572,0.00804347826086957,0.00848623853211009
38,0.168813409484889,0.00826086956521739,0.00871559633027523
39,0.170034685520076,0.00847826086956522,0.00894495412844037
40,0.171951020502782,0.00869565217391304,0.0091743119266055
41,0.171951020502782,0.00891304347826087,0.00940366972477064
42,0.171951020502782,0.0091304347826087,0.00963302752293578
43,0.179310293488495,0.00934782608695652,0.00986238532110092
44,0.195832338120866,0.00956521739130435,0.0100917431192661
45,0.198518159744119,0.00978260869565217,0.0103211009174312
46,0.198518159744119,0.01,0.0105504587155963
47,0.201667939889615,0.0102173913043478,0.0107798165137615
48,0.213199533883761,0.0104347826086957,0.0110091743119266
49,0.214040910098983,0.0106521739130435,0.0112385321100917
50,0.221727994253473,0.0108695652173913,0.0114678899082569
51,0.225615423740577,0.0110869565217391,0.011697247706422
52,0.226324739441605,0.011304347826087,0.0119266055045872
53,0.226416127494702,0.0115217391304348,0.0121559633027523
54,0.238684647140107,0.0117391304347826,0.0123853211009174
55,0.245874934113401,0.0119565217391304,0.0126146788990826
56,0.256317484116628,0.0121739130434783,0.0128440366972477
57,0.261293270576053,0.0123913043478261,0.0130733944954128
58,0.261293270576053,0.0126086956521739,0.013302752293578
59,0.261293270576053,0.0128260869565217,0.0135321100917431
60,0.269569052866598,0.0130434782608696,0.0137614678899083
61,0.26972132327202,0.0132608695652174,0.0139908256880734
62,0.275285439053323,0.0134782608695652,0.0142201834862385
63,0.278254116167994,0.013695652173913,0.0144495412844037
64,0.279253595874817,0.0139130434782609,0.0146788990825688
65,0.279253595874817,0.0141304347826087,0.0149082568807339
66,0.29454666306571,0.0143478260869565,0.0151376146788991
67,0.298110501791738,0.0145652173913043,0.0153669724770642
68,0.298935903042746,0.0147826086956522,0.0155963302752294
69,0.302519956615618,0.015,0.0158256880733945
70,0.304809465671756,0.0152173913043478,0.0160550458715596
71,0.305371252799809,0.0154347826086957,0.0162844036697248
72,0.311662208490739,0.0156521739130435,0.0165137614678899
73,0.319155843114337,0.0158695652173913,0.016743119266055
74,0.321174981260425,0.0160869565217391,0.0169724770642202
75,0.327217224004735,0.016304347826087,0.0172018348623853
76,0.342162010719933,0.0165217391304348,0.0174311926605505
77,0.345570430935615,0.0167391304347826,0.0176605504587156
78,0.346659318286186,0.0169565217391304,0.0178899082568807
79,0.348848959530752,0.0171739130434783,0.0181192660550459
80,0.358601283148712,0.0173913043478261,0.018348623853211
81,0.358601283148712,0.0176086956521739,0.0185779816513761
82,0.358601283148712,0.0178260869565217,0.0188073394495413
83,0.358601283148712,0.0180434782608696,0.0190366972477064
84,0.358601283148712,0.0182608695652174,0.0192660550458716
85,0.358601283148712,0.0184782608695652,0.0194954128440367
86,0.358601283148712,0.018695652173913,0.0197247706422018
87,0.367765948465325,0.0189130434782609,0.019954128440367
88,0.379034425539346,0.0191304347826087,0.0201834862385321
89,0.379034425539346,0.0193478260869565,0.0204128440366972
